user_id,name,password,login_time,logout_time
1295062,Tom,zufyzgbiea,2020-05-26 00:30:58.237032,2020-10-02 06:57:04.697176
6647717,James,xgtwnsllxj,2020-08-11 09:33:48.796416,2020-10-23 00:08:12.155905
2889508,Mary,fvusnyhcep,2020-01-09 09:50:54.745415,2020-05-28 00:36:37.191125
4743439,John,zuhkagjmpq,2020-12-06 11:45:51.423580,2020-12-06 14:08:28.915765
3495388,Linda,orgyhscfsg,2020-02-28 01:36:57.057372,2020-03-11 06:24:20.608475
7053062,Robert,mbnahyyego,2020-09-09 16:31:26.239272,2020-09-17 07:48:09.613394
6520997,David,zcqxleehlm,2020-09-14 23:51:30.723502,2020-10-24 18:15:05.915533
9949070,Kevin,stwgitfpqw,2020-09-23 05:21:47.697675,2020-12-08 13:50:18.597035
6091941,Emma,mjtwpjsscv,2020-09-08 22:01:28.393134,2020-12-28 02:43:46.568443
7657915,Anna,ntcbplwstb,2020-12-12 23:02:50.693572,2020-12-24 12:51:41.791600
8581541,Frank,iafleeijiy,2020-02-19 18:04:40.564361,2020-09-27 16:06:44.074408
7067471,Washington,ubvfmdgaxw,2020-07-16 14:18:46.013412,2020-07-29 21:59:30.246643
3766654,Joan,eqrmpkfdzi,2020-04-30 12:21:05.107885,2020-09-06 04:54:54.641289
1852035,Kyle,hihnbyrybz,2020-12-30 20:57:36.494777,2020-12-31 19:23:57.043170
7463462,Pepe,iecvkvqxej,2020-01-22 20:57:40.951860,2020-08-22 00:54:57.689898
1250150,OmegaLUL,qqpufgisdz,2020-08-08 12:29:22.083498,2020-12-05 14:28:03.359024
7285644,Sean,offxfzscnk,2020-12-06 22:05:05.902311,2020-12-18 03:45:58.568758
6475480,Karen,ssqzeniihc,2020-04-12 05:45:01.773128,2020-09-06 09:20:46.955050
6286668,Vader,igzgslgxer,2020-12-14 19:34:51.589523,2020-12-22 23:49:13.303589
7131691,Corona,yjloucsuyk,2020-06-04 22:18:25.558598,2020-08-13 08:51:54.715291
